Consommation,Prévision J-1,Prévision J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques,Taux de Co2,Ech_comm
1613817.0,1569650.0,1603950.0,7666.5,28191.5,56216.0,1388930.5,51127.0,11370.5,158136.5,-26906.5,21712.5,-82623.5,1028.0,-76107.0
1656045.5,1672200.0,1643050.0,7796.5,43440.5,62653.5,1400287.0,78933.0,8297.5,180503.0,-17687.5,21602.5,-129775.5,1196.0,-121458.0
1538261.0,1543750.0,1528950.0,7723.0,34074.0,54482.0,1376450.5,105299.0,5860.5,141242.5,-32067.0,21850.0,-176653.5,1086.0,-168566.0
1413088.0,1436800.0,1407550.0,7713.5,29848.0,54893.5,1328030.0,30061.0,6926.0,145347.5,-43888.0,21477.0,-167324.0,1112.5,-158445.0
1710599.5,1670450.0,1694950.0,8009.0,63351.5,121532.0,1395291.0,16004.0,9786.5,209115.5,-19182.5,20816.5,-114123.5,1668.0,-105154.0
1810338.5,1779650.0,1799950.0,7508.5,74006.0,130937.5,1431631.0,29080.0,7759.5,220415.0,-14568.0,20763.5,-97198.0,1783.0,-87785.0
1784020.5,1783000.0,1763150.0,7539.5,70975.5,135395.5,1446600.5,31404.5,9131.0,218406.0,-12142.0,20704.0,-143989.5,1742.5,-134391.0
1720014.0,1707550.0,1694250.0,7673.0,63754.5,102640.5,1448507.5,118634.5,8295.5,188269.0,-16239.0,21275.0,-222796.5,1505.5,-212601.0
1632115.5,1597750.0,1603350.0,8177.5,21001.0,63394.0,1428285.0,165172.5,6633.0,191805.5,-19994.0,22056.5,-254333.5,876.5,-245453.0
1386109.5,1371800.0,1362100.0,7665.0,163.0,54660.5,1317134.0,155014.0,6264.5,134284.5,-49034.0,22977.0,-262958.5,677.5,-253519.0
1379918.0,1346750.0,1352150.0,7722.0,11.0,53781.0,1306949.5,112978.0,11695.5,139846.5,-30764.5,23189.5,-245249.0,686.0,-235353.0
1642328.0,1601450.0,1617350.0,8028.5,34693.0,63727.0,1404935.5,144744.0,12826.0,200365.0,-17618.0,22637.5,-231850.5,1043.5,-222873.0
1642547.5,1626050.0,1617850.0,12764.0,49094.0,61937.0,1401226.0,143551.0,8831.5,203933.0,-19980.5,23020.0,-241824.0,1266.5,-230924.0
1642105.0,1637500.0,1618750.0,8211.5,39266.0,67081.0,1411251.0,131124.5,9195.0,199166.5,-17930.0,22497.0,-227755.0,1126.5,-218796.0
1646339.5,1601200.0,1613350.0,8208.5,46795.5,54879.5,1403274.0,153564.5,5719.0,213163.5,-19165.5,22855.5,-242956.0,1155.5,-235557.0
1635446.5,1616750.0,1623300.0,8105.0,53741.5,97849.0,1425087.5,37864.0,3268.5,224038.0,-16412.5,23031.0,-221121.0,1455.0,-214661.0
1563165.5,1548400.0,1550550.0,7793.0,47953.5,56480.0,1384728.5,33035.5,9867.0,203133.0,-22369.0,22919.0,-180373.0,1278.5,-170254.0
1563415.5,1542900.0,1555600.0,7776.0,43390.5,57734.5,1415711.0,45013.5,9209.0,175198.5,-27525.0,23119.5,-186204.0,1217.0,-175687.0
1781994.0,1791100.0,1778100.0,7987.5,71527.0,134985.0,1456243.5,14153.0,4246.0,235232.0,-14994.5,22671.5,-150053.5,1762.0,-139971.0
1845672.0,1852650.0,1836700.0,8109.0,75477.5,148974.0,1443660.5,13213.0,6244.0,262187.5,-10281.0,22580.0,-124488.5,1849.0,-117375.0
1864542.5,1852300.0,1854300.0,8107.5,73617.5,158457.5,1460227.5,26831.0,6714.5,237378.5,-15052.5,22334.0,-114069.0,1856.5,-103949.0
1867123.5,1860800.0,1856650.0,8139.5,74058.5,154759.0,1449100.5,24140.0,8147.0,244337.5,-12754.5,21791.0,-104589.5,1842.5,-96338.0
1892485.5,1859100.0,1876250.0,8020.0,75425.0,161324.5,1451711.0,24411.0,8947.0,241540.5,-12001.5,22578.0,-89468.0,1890.0,-83197.0
1748997.0,1718300.0,1733450.0,7867.0,70803.0,109510.0,1438315.0,72312.5,7698.0,188384.5,-24242.5,23213.5,-144856.0,1697.5,-138776.0
1658734.0,1652550.0,1657400.0,7911.0,68549.5,80025.0,1439648.0,32178.0,12390.0,155185.0,-31800.5,22738.0,-128088.0,1619.0,-118877.0
1795161.5,1816850.0,1790750.0,7780.5,71995.5,134943.0,1433813.5,64865.5,4364.5,205630.0,-17334.0,22450.0,-133336.0,1775.0,-125343.0
1777152.5,1814300.0,1777850.0,9140.5,73950.0,147425.0,1440578.0,38984.0,6542.0,213154.5,-12493.5,22470.0,-162597.0,1861.5,-155929.0
1784136.5,1782050.0,1758600.0,10346.5,65324.0,147759.5,1431005.0,115178.0,7696.5,175356.5,-22797.0,22489.5,-168217.0,1758.5,-162131.0
1781801.5,1730900.0,1759500.0,8768.5,49607.0,143563.5,1390637.5,128306.0,3021.0,191801.5,-21132.0,23080.0,-135848.5,1579.5,-128714.0
1796684.5,1754050.0,1779700.0,8136.5,56701.0,124615.5,1427225.5,98266.5,8063.0,239904.0,-13178.0,22796.0,-175843.5,1519.5,-168400.0
1663246.5,1658150.0,1651450.0,7733.5,46017.5,70214.0,1391705.5,59827.5,8775.0,229420.0,-20231.5,22907.0,-153116.0,1265.0,-145313.0
1636949.0,1606700.0,1621700.0,7340.5,48240.5,63348.0,1380269.0,113955.5,9395.5,190195.5,-38242.0,22196.0,-159743.0,1257.0,-152203.0
1833206.0,1858250.0,1833500.0,7713.0,75489.0,147049.5,1405752.0,23429.5,10528.5,234454.5,-15260.0,21971.5,-77919.5,1884.0,-62653.0
1898993.0,1912800.0,1902450.0,8066.0,77085.0,171570.5,1387684.0,17375.0,6095.5,257715.0,-15415.0,21933.5,-33111.0,2004.5,-24335.0
1943350.5,1918100.0,1917250.0,11576.5,74573.5,166510.5,1388598.0,76270.0,6622.0,257304.5,-14257.0,22112.5,-45953.0,1930.0,-39794.0
1970264.5,1925100.0,1944350.0,9538.5,63641.5,155184.5,1411912.0,103865.0,8851.0,276711.5,-10732.0,22290.5,-70986.5,1696.0,-65114.0
2030330.0,1964550.0,2006300.0,18806.5,61773.0,158388.0,1409240.0,161703.5,6841.0,266314.5,-13544.5,22517.0,-61701.5,1736.5,-49895.0
1834879.0,1835650.0,1822000.0,7762.5,49021.0,144531.0,1361364.0,111034.0,14785.5,224270.0,-13965.5,22754.5,-86676.0,1567.0,-78860.0
1694812.5,1686450.0,1679550.0,7618.0,48498.5,91477.5,1340563.0,94987.0,13439.5,191780.0,-29231.0,22554.5,-86868.0,1422.0,-77156.0
