Date,Nature,type_tempo,Consommation,Prévision_J-1,Prévision_J,Fioul,Charbon,Gaz,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech_physiques,Taux_de_Co2,Ech_comm,sun,wind
2014-09-01,Données définitives,BLEU,549696.75,549675.0,545475.0,2805.25,9435.0,9114.0,543040.75,10733.25,13490.75,72130.25,-8062.75,9441.25,-112329.5,414.5,-108445.0,,
2014-09-02,Données définitives,BLEU,570301.75,565500.0,568350.0,2823.0,12168.0,8396.0,549099.5,10625.0,13444.75,68908.5,-5897.75,9605.0,-98869.75,459.0,-94835.0,,
2014-09-03,Données définitives,BLEU,572659.25,567700.0,563650.0,2793.0,9495.75,6157.25,547309.0,20082.75,13506.5,66925.5,-6987.25,9544.75,-96163.0,398.25,-92401.5,,
2014-09-04,Données définitives,BLEU,576923.0,564675.0,569800.0,2871.0,10461.75,6895.25,543333.75,9879.5,11463.25,70674.75,-6424.0,9539.5,-81769.5,428.0,-78653.5,,
2014-09-05,Données définitives,BLEU,572880.25,566525.0,569950.0,2761.5,10675.5,7781.5,550745.25,2920.5,10998.0,70358.25,-5461.25,9491.25,-87388.5,431.5,-84271.0,,
2014-09-06,Données définitives,BLEU,503624.5,501300.0,502300.0,2816.75,1018.0,6418.25,532306.5,1792.5,11578.25,56434.25,-9759.5,9678.0,-108424.75,282.5,-105008.5,,
2014-09-07,Données définitives,BLEU,469742.75,468250.0,467325.0,2816.0,0.0,6479.5,517577.75,3894.5,12218.75,45784.0,-18209.5,9366.75,-109857.0,271.5,-106798.5,,
2014-09-08,Données définitives,BLEU,565318.5,565525.0,563475.0,2812.5,4258.5,9052.75,557656.25,9584.5,9299.25,68925.25,-7083.0,8846.0,-97930.75,315.75,-94354.5,,
2014-09-09,Données définitives,BLEU,580161.5,585950.0,577450.0,2824.75,11463.0,8886.75,564564.5,10410.25,10591.5,65864.25,-9324.75,9028.75,-94144.5,433.75,-90358.0,,
2014-09-10,Données définitives,BLEU,580898.0,578125.0,576625.0,2793.5,12752.5,9055.25,565357.25,18531.0,12501.5,63476.0,-10057.5,9240.75,-102750.75,457.0,-99823.0,,
2014-09-11,Données définitives,BLEU,579929.0,575300.0,575650.0,3514.0,13918.0,9491.75,551070.25,21286.25,13169.25,69374.75,-7685.25,9280.0,-103488.0,488.5,-100165.0,,
2014-09-12,Données définitives,BLEU,569782.5,566525.0,563575.0,5407.25,9976.0,7832.75,536861.75,19179.25,13153.0,65150.75,-9014.75,9449.25,-88202.75,458.0,-86360.0,,
2014-09-13,Données définitives,BLEU,501966.25,492950.0,495750.0,2811.75,0.0,6454.75,524544.5,19764.5,12201.0,55617.75,-13804.5,9576.75,-114935.0,258.0,-113219.5,,
2014-09-14,Données définitives,BLEU,467305.25,461875.0,463400.0,2814.5,0.0,6277.0,510844.0,16284.75,10289.0,48464.0,-22128.5,9520.5,-114745.25,272.0,-112339.0,,
2014-09-15,Données définitives,BLEU,562382.25,557975.0,559525.0,2810.25,10740.5,12737.5,530534.75,8330.5,9579.75,66138.75,-6964.25,8867.25,-80297.25,459.5,-77256.5,,
2014-09-16,Données définitives,BLEU,578225.75,576400.0,576725.0,4522.25,18850.75,12710.75,543259.5,11236.25,10407.5,63902.5,-7935.5,9096.75,-87820.0,613.75,-84573.5,,
2014-09-17,Données définitives,BLEU,581407.5,579850.0,576100.0,2806.75,14049.0,8806.75,545561.5,19376.5,8862.5,66748.75,-8603.75,9304.75,-85504.75,489.5,-83108.0,,
2014-09-18,Données définitives,BLEU,581318.75,579375.0,578275.0,2814.25,11895.0,8991.5,551287.25,14566.25,8158.0,74009.0,-8752.5,9310.0,-90958.0,451.75,-87679.0,,
2014-09-19,Données définitives,BLEU,576417.0,572650.0,572325.0,2775.75,11997.75,11935.25,553074.25,10151.5,8346.75,76090.0,-8449.0,9321.25,-98822.75,468.75,-95326.5,,
2014-09-20,Données définitives,BLEU,505184.75,503625.0,500825.0,2829.25,7704.5,6492.25,508092.5,5167.75,9990.75,61482.25,-13116.25,9381.5,-92836.25,409.75,-88847.5,,
2014-09-21,Données définitives,BLEU,468235.75,465875.0,463725.0,2804.0,4954.5,6341.0,492195.0,15747.0,8009.0,53316.0,-21180.75,9260.25,-103210.25,370.5,-100248.5,,
2014-09-22,Données définitives,BLEU,555794.75,556200.0,549700.0,2830.5,20307.5,8574.25,504706.75,18514.25,10467.25,63461.5,-7997.0,8875.0,-73944.5,612.75,-71284.0,,
2014-09-23,Données définitives,BLEU,575884.5,570125.0,570525.0,2884.0,24953.5,8467.5,515354.0,14685.5,10023.25,65980.75,-6983.0,8674.75,-68152.5,686.75,-65194.0,,
2014-09-24,Données définitives,BLEU,585527.0,574575.0,581100.0,3112.0,25569.75,10444.25,524519.0,10464.25,6838.25,65271.25,-7357.5,9086.5,-62419.0,715.75,-59923.5,,
