time,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
2022-02-01,261520.85168869002,90775.39475000002,163552.58096666666,34723.09387500001,456686.95769999997,44975.60395833335,21341.96236291668,42435.77833625001,185091.56333333335,315764.8979166667,122142.33333333336,425822.50665000005,15171.12900416668
2022-02-02,197822.70926696085,59674.92681666668,225057.75206250002,163614.11294583333,455816.7110708333,36565.52143333335,66463.47376250001,155318.99832500002,240519.50195833333,292222.56275000004,244625.74870000003,430004.5438595833,73755.42732083335
2022-02-03,299190.20628808334,190444.99820833336,81208.29068041669,150123.86575000003,408849.2930583334,124497.68808333336,48622.630200000014,47198.020700000015,218038.002,342835.3129166667,119590.0197125,383634.4191633333,87619.21955833335
2022-02-04,284906.85803237505,131882.47633333335,228456.23183333335,92169.88695000001,330461.6225,87107.94841666668,120341.10295833334,164888.95616666667,112435.20925000001,238153.64762499998,168470.04122916667,390108.2037654167,113925.63516666669
2022-02-05,362909.54019183334,346769.8930833333,318892.106625,308881.76820833335,310414.5617416667,243847.89572360835,259733.25283333333,262925.20758333337,402942.37195833336,325491.80845833337,338302.8975,442079.50087750005,274746.58033333335
2022-02-06,300372.3118175,92086.60439335626,53257.29564583334,55674.73937500001,479970.03910833335,31350.570270595843,45367.76040000001,43045.33361250001,164185.66675,355783.62601801,52780.98962500002,459087.8770791667,18598.800948333348
2022-02-07,369665.9615593334,388999.74654720834,230681.5632166667,376465.7924166667,360467.4557916667,355873.91473041667,338847.27091666666,345459.37533333333,236758.5607916667,257231.4172041125,292783.3327916667,465181.70777083334,361622.6679166667
2022-02-08,447191.0465679167,381566.7531504167,199232.74890833336,370472.49833333335,497772.247625,161436.14786091668,165530.76962500002,206958.16479166667,446610.54283333337,484084.5417684167,292003.476125,479696.33053750003,246660.4165416667
2022-02-09,459967.746875,411641.49983125,299458.1486041667,402973.1714583333,504327.0449708334,371169.99915375,302032.08683333336,323359.56145833334,445609.32904166664,457693.24805558333,331870.10175,456372.33345833333,373694.332375
2022-02-10,440847.0000041667,297843.64755833335,114942.49998333334,227092.66675,513112.62354166666,170342.66836833334,59711.85868750001,76619.33987500002,381757.08362499997,476072.04070824996,125443.87408333334,475675.7905666667,182011.45858333333
2022-02-11,350967.876855,387291.37601125,348440.354625,362539.5418333334,507519.15958333336,271930.64516875,366253.0434583334,376451.99595833337,386202.9170833333,322317.5388141667,402824.08375,470010.66089583334,369877.3319583333
2022-02-12,390879.49665416667,330624.79139291664,384803.0448333334,355185.79079166666,480899.00145833334,343580.35534708336,373839.6266666667,391287.54233333335,352444.70608333335,363334.9184145834,430688.83041666663,486053.33573750005,399528.541125
2022-02-13,436545.66041666665,411343.83184166666,43557.81144166668,349284.356125,367226.00239166664,374288.2887875,286275.6874166667,237492.105,412245.49895833334,376328.04236625,211350.33337500002,429424.33544583333,333840.2525
2022-02-14,145951.2074391667,107206.166645,287821.452,282427.7060416667,460470.37204166665,142653.55114750002,298733.85495833337,256817.24770833334,260457.68679166667,266813.91849395836,247493.39416666667,72620.76072500001,289331.47725
2022-02-15,329802.79075208335,280580.7079404167,83890.68137500001,193262.7929166667,390769.5437916667,267350.4575308334,186844.97937500002,90526.165875,149037.07264850417,321697.8536854167,114172.27054166667,516122.5383083334,164165.33250000002
2022-02-16,115622.94885416668,31998.156250833345,72944.89587500002,46486.713425000016,544372.745875,38094.34107416668,67725.60367500002,43905.93749583335,46986.796750000016,117088.72974250001,60192.015441666685,444795.4147083333,48886.41685416668
2022-02-17,270825.19143916667,266103.01963291666,241117.792625,327021.559817,518478.28995833336,297999.4413875,300268.3773122917,312174.68833333335,186469.29133333336,219145.7931766667,298817.31583333336,515213.82995833334,295802.85352170834
2022-02-18,451234.5871666667,250468.08554458336,283507.64592083334,122538.26131166669,534298.4645833333,125086.55224041668,147904.19698927502,205525.43708333335,244659.14513566668,504428.3660958333,138426.7498041667,534883.1241541667,86090.76667125
2022-02-19,439875.20961666666,458134.03331666667,250219.37520833337,442589.6213858333,333495.5205416667,413526.7479583334,279782.01985375,270801.02208333334,428818.1627671667,320358.374175,392167.8725,361877.4224166667,398778.5373575
2022-02-20,351349.9598416667,97083.57206041669,197337.1239166667,134531.79182708336,536834.8729166667,71967.20248750002,67068.43774175002,91400.58318333335,182318.93625000003,389618.6661041667,192785.04006666667,558764.9162916667,126706.92736429168
2022-02-21,263727.771975,237553.01880833335,424773.9610833333,323093.77097333333,350892.6692916667,265619.43580833334,250482.85439833335,313351.3972538375,389673.21094041667,419660.9956458334,381377.62083333335,501742.58358333335,328326.06439458334
2022-02-22,434226.50279999996,194476.810675,274630.95508333336,167620.34450416666,616796.5460416666,145983.7906,111066.73030333336,192523.23212883752,341530.2286220834,489121.664025,233697.01687179584,589053.3322083334,145605.27063958335
2022-02-23,499068.24887500005,352440.4217083333,385482.54583333334,283841.81204166665,624603.6245833334,349609.74844583333,285785.1255975,328949.980352875,461922.25016041665,595234.1658625001,290110.08226816665,604464.961875,280731.7720066667
