,J+0_sun_exact,J+0_wind_exact,J+1_sun_exact,J+1_wind_exact,J+2_sun_exact,J+2_wind_exact,J+3_sun_exact,J+3_wind_exact
2022-02-01,25765920000.0,31466.328,31114540000.0,,32642183000.0,,28279611000.0,
2022-02-02,29528115000.0,23458.852,33834072000.0,23660.15,27386348000.0,,48450750000.0,
2022-02-03,31243862000.0,17821.512,26331107000.0,16497.27,52781347000.0,18382.998,29897490000.0,
2022-02-04,27672281000.0,25493.373,53626667000.0,23982.268,25317196000.0,23833.615,42333487000.0,23033.793
2022-02-05,51223840000.0,21595.236,24317444000.0,21771.31,51831407000.0,20217.459,53481144000.0,18443.164
2022-02-06,25921352000.0,40653.973,51145093000.0,41731.098,50953840000.0,40516.46,59150746000.0,39200.55
2022-02-07,50347130000.0,25176.125,50424530000.0,26043.072,58389447000.0,28410.396,41249063000.0,27022.648
2022-02-08,54663754000.0,15103.565,60378878000.0,15013.622,42138173000.0,15695.452,51210290000.0,15583.261
2022-02-09,62456844000.0,15207.945,44285540000.0,13820.899,54964404000.0,13812.151,58155745000.0,15135.395
2022-02-10,45625917000.0,18670.135,56119510000.0,17465.674,59577713000.0,18252.107,53674033000.0,20380.256
2022-02-11,56049690000.0,17582.738,58054435000.0,17392.412,55660870000.0,17500.873,35011430000.0,18686.584
2022-02-12,58122870000.0,17632.842,57765454000.0,17201.916,34215330000.0,15767.551,48566730000.0,16451.166
2022-02-13,54332290000.0,34555.35,34635567000.0,34232.137,37017960000.0,33536.277,14967702000.0,32621.908
2022-02-14,33652187000.0,32860.594,37962277000.0,31554.922,14909276000.0,30909.701,43171897000.0,32205.148
2022-02-15,36992460000.0,30952.111,16188064000.0,31924.834,36594917000.0,30596.494,41185657000.0,27448.951
2022-02-16,14606301000.0,42321.254,42421880000.0,41462.48,41058894000.0,42879.043,66284257000.0,37566.934
2022-02-17,43270996000.0,36069.81,44380930000.0,35353.67,63962400000.0,34436.023,37261410000.0,36220.543
2022-02-18,44245746000.0,38204.074,60941600000.0,36888.67,36535420000.0,39053.176,54304522000.0,40408.324
2022-02-19,59169720000.0,31365.963,36952523000.0,31092.861,56113824000.0,29606.484,49476436000.0,27962.646
2022-02-20,34078489000.0,39396.617,53338554000.0,40305.81,45897425000.0,41649.84,68008567000.0,42308.324
2022-02-21,52212163000.0,47931.168,48566860000.0,48626.203,66734350000.0,47822.17,48705618000.0,48511.56
